Trial,Rule,Result,Probability,PC1,PC2,PC3,Site,Excluded
43,28,Reef,0.593,'<= 2.158,"",'> 0.03,E,"A, B, C, D, F, G, H, I, J, K, L"
43,29,Reef,0.584,'<= 1.057,"",'<= 0.03,H,"A, B, C, D, E, F, G, I, J, K, L"
43,30,Reef,0.5670000000000001,'0.015 < x <= 1.458,'> -0.209,'> 0.03,"A, D, E, F, G, H","B, C, I, J, K, L"
43,31,Reef,0.556,'<= -0.061,'<= 0.157,"","A, C, E, F, G, H, I, J, K","B, D, L"
44,1,Sand,0.7859999999999999,'-0.744 < x <= 0.683,'0.553 < x <= 0.58,"","A, B, C, E, F, G, H, I, J, L","D, K"
44,2,Sand,0.718,'> 0.712,"",'> 0.172,Any,None
44,3,Sand,0.705,'> 2.625,'<= 0.639,'<= 0.172,"A, B, C, D, E, F, G, H, I, J, L",K
44,4,Sand,0.635,'> 0.712,"","",C,"A, B, D, E, F, G, H, I, J, K, L"
44,5,Sand,0.606,'-0.744 < x <= 0.696,'0.28 < x <= 0.393,'-0.108 < x <= 0.096,"B, C, D, E, F, G, H, I, L","A, J, K"
44,6,Sand,0.529,"",'<= 0.524,"",Any,None
44,7,Reef,0.989,'<= -2.139,"","","A, B, E, F, H, I, J, K, L","C, D, G"
44,8,Reef,0.977,'<= -0.744,"","",K,"A, B, C, D, E, F, G, H, I, J, L"
44,9,Reef,0.883,'-0.881 < x <= -0.744,'> -2.23,"","A, E, F, H, I, J, K","B, C, D, G, L"
44,10,Reef,0.8760000000000001,'2.601 < x <= 2.625,"",'<= 0.145,"A, D, F, G, I, J, K, L","B, C, E, H"
44,11,Reef,0.8440000000000001,"",'> 0.639,"","A, B, D, E, F, G, H, I, J, K, L",C
44,12,Reef,0.8180000000000001,'<= -0.744,"","",B,"A, C, D, E, F, G, H, I, J, K, L"
44,13,Reef,0.8170000000000001,"",'> 0.383,"",D,"A, B, C, E, F, G, H, I, J, K, L"
44,14,Reef,0.8160000000000001,'-0.744 < x <= 0.696,'> 0.109,'> 0.096,"B, C, E, F, G, H, I, J, K, L","A, D"
44,15,Reef,0.807,'0.712 < x <= 2.625,"",'0.16 < x <= 0.172,H,"A, B, C, D, E, F, G, I, J, K, L"
44,16,Reef,0.7969999999999999,'<= -0.744,'> -2.23,'<= 0.044,"A, B, E, F, H, I, J, K","C, D, G, L"
44,17,Reef,0.768,'<= 0.712,'> 0.191,'> -0.043,J,"A, B, C, D, E, F, G, H, I, K, L"
44,18,Reef,0.76,'0.696 < x <= 0.712,'<= 0.58,"","A, B, C, E, F, G, H, I, J, L","D, K"
44,19,Reef,0.741,'<= -0.744,"","",C,"A, B, D, E, F, G, H, I, J, K, L"
44,20,Reef,0.73,'0.712 < x <= 2.601,'> 0.406,'<= 0.145,"B, E, F, G, H, I, J, K, L","A, C, D"
44,21,Reef,0.726,'<= -0.744,"","",D,"A, B, C, E, F, G, H, I, J, K, L"
44,22,Reef,0.709,"",'> 0.181,"",K,"A, B, C, D, E, F, G, H, I, J, L"
